month,label,avg_box_office_index,competition_level,holiday_factor,best_genres,notes
1,一月 / 賀歲檔,1.3,4,1.4,喜劇;職人劇,農曆新年前後，賀歲喜劇旺季
2,二月 / 春節檔,1.5,5,1.6,喜劇;愛情,春節黃金檔期＋情人節，票房最高峰
3,三月,0.7,2,0.8,職人劇;愛情,淡季開始，學生開學
4,四月,0.6,2,0.7,恐怖;愛情,清明連假帶動小幅回升
5,五月,0.8,3,0.9,動作;愛情,母親節檔期，家庭觀影增加
6,六月,0.9,3,1.0,動作;喜劇,暑假前期，學生放假潮開始
7,七月 / 暑假檔,1.4,5,1.5,動作;恐怖,暑假黃金檔期，好萊塢大片密集
8,八月 / 暑假檔,1.3,5,1.4,動作;恐怖;喜劇,暑假後段，鬼月檔期恐怖片旺季
9,九月,0.7,2,0.8,職人劇;愛情,開學季，觀影人次下降
10,十月,0.8,3,0.9,恐怖;動作,萬聖節帶動恐怖片需求
11,十一月,0.7,2,0.8,職人劇;愛情,金馬獎季，藝術片受關注
12,十二月 / 賀歲前檔,1.1,4,1.2,喜劇;愛情,跨年＋聖誕，觀影人次回升
